Order_ID,Date,Delivery_Status,Delivery_Time,Delivery_Cost,Customer_Rating,Rider_ID
ORDER1,2023-09-27,Failed,119,64.46,4,RIDER1
ORDER2,2023-08-21,Failed,73,94.63,4,RIDER2
ORDER3,2023-11-22,Failed,49,324.06,3,RIDER3
ORDER4,2023-01-17,In Transit,83,463.06,1,RIDER4
ORDER5,2023-11-28,Delivered,21,469.34,5,RIDER5
ORDER6,2023-03-19,In Transit,43,189.25,5,RIDER6
ORDER7,2023-06-06,In Transit,41,469.3,2,RIDER7
ORDER8,2023-10-29,In Transit,16,97.39,3,RIDER8
ORDER9,2023-09-19,Failed,112,277.74,2,RIDER9
ORDER10,2023-08-25,In Transit,53,303.38,4,RIDER10
ORDER11,2023-05-24,Failed,83,175.16,1,RIDER11
ORDER12,2023-10-09,Delivered,42,410.14,3,RIDER12
ORDER13,2023-11-24,In Transit,120,212.99,1,RIDER13
ORDER14,2023-04-06,Failed,73,99.37,3,RIDER14
ORDER15,2023-11-06,Failed,68,259.38,2,RIDER15
ORDER16,2023-07-27,Delivered,118,419.96,1,RIDER16
ORDER17,2023-12-07,In Transit,12,286.08,5,RIDER17
ORDER18,2023-03-08,Failed,106,97.97,1,RIDER18
ORDER19,2023-11-08,Delivered,23,275.48,3,RIDER19
ORDER20,2023-07-11,In Transit,25,229.38,4,RIDER20
ORDER21,2023-02-10,In Transit,87,235.89,2,RIDER21
ORDER22,2023-10-29,In Transit,10,482.52,4,RIDER22
ORDER23,2023-02-08,Delivered,120,148.23,2,RIDER23
ORDER24,2023-04-03,Delivered,57,355.81,3,RIDER24
ORDER25,2023-05-04,Delivered,19,361.65,2,RIDER25
ORDER26,2023-04-01,In Transit,56,100.43,4,RIDER26
ORDER27,2023-12-27,Failed,41,193.65,4,RIDER27
ORDER28,2023-04-05,Failed,87,493.5,1,RIDER28
ORDER29,2023-06-16,Failed,74,386.94,1,RIDER29
ORDER30,2023-01-19,In Transit,66,455.46,4,RIDER30
ORDER31,2023-06-13,In Transit,14,105.25,5,RIDER31
ORDER32,2023-02-12,In Transit,117,154.68,1,RIDER32
ORDER33,2023-07-31,In Transit,26,297.68,2,RIDER33
ORDER34,2023-10-05,Delivered,61,59.88,4,RIDER34
ORDER35,2023-09-13,Failed,98,429.42,5,RIDER35
ORDER36,2023-06-30,Delivered,84,55.47,3,RIDER36
ORDER37,2023-12-11,Delivered,33,264.27,4,RIDER37
ORDER38,2023-12-17,Delivered,76,264.65,1,RIDER38
ORDER39,2023-05-18,In Transit,115,217.97,1,RIDER39
ORDER40,2023-02-18,Delivered,90,242.5,2,RIDER40
ORDER41,2023-04-14,In Transit,120,247.84,3,RIDER41
ORDER42,2023-12-19,In Transit,104,186.9,4,RIDER42
ORDER43,2023-11-20,In Transit,102,189.01,3,RIDER43
ORDER44,2023-04-30,Delivered,50,221.97,2,RIDER44
ORDER45,2023-04-04,Delivered,63,84.46,2,RIDER45
ORDER46,2023-02-07,Delivered,64,376.58,2,RIDER46
ORDER47,2023-08-10,Delivered,101,449.43,2,RIDER47
ORDER48,2023-09-25,In Transit,63,260.92,4,RIDER48
ORDER49,2023-01-09,Delivered,82,288.93,3,RIDER49
ORDER50,2023-01-14,Failed,57,78.23,3,RIDER50
ORDER51,2023-03-13,Failed,79,303.09,2,RIDER51
ORDER52,2023-06-26,In Transit,68,366.26,2,RIDER52
ORDER53,2023-05-22,Failed,61,256.08,5,RIDER53
ORDER54,2023-04-19,Failed,70,352.87,3,RIDER54
ORDER55,2023-08-12,Failed,68,307.59,1,RIDER55
ORDER56,2023-11-01,Delivered,119,250.71,4,RIDER56
ORDER57,2023-08-15,In Transit,39,438.53,3,RIDER57
ORDER58,2023-12-05,In Transit,89,225.43,4,RIDER58
ORDER59,2023-12-07,In Transit,24,75.24,3,RIDER59
ORDER60,2023-02-11,Failed,96,116.29,4,RIDER60
ORDER61,2023-04-30,In Transit,85,423.78,4,RIDER61
ORDER62,2023-05-11,Failed,35,429.05,1,RIDER62
ORDER63,2023-02-27,Failed,39,112.72,4,RIDER63
ORDER64,2023-04-23,Delivered,35,353.18,2,RIDER64
ORDER65,2023-03-21,Delivered,120,278.66,3,RIDER65
ORDER66,2023-10-12,In Transit,44,98.22,5,RIDER66
ORDER67,2023-04-18,In Transit,36,264.76,5,RIDER67
ORDER68,2023-12-19,In Transit,73,451.61,5,RIDER68
ORDER69,2023-09-24,Failed,114,84.84,2,RIDER69
ORDER70,2023-05-04,In Transit,30,467.32,3,RIDER70
ORDER71,2023-08-26,In Transit,26,394.32,1,RIDER71
ORDER72,2023-11-20,In Transit,44,302.0,5,RIDER72
ORDER73,2023-10-20,Delivered,29,433.61,1,RIDER73
ORDER74,2023-05-17,In Transit,93,376.03,5,RIDER74
ORDER75,2023-09-16,Failed,74,353.44,3,RIDER75
ORDER76,2023-10-24,Failed,101,134.4,3,RIDER76
ORDER77,2023-04-29,Delivered,19,159.52,5,RIDER77
ORDER78,2023-06-13,In Transit,11,262.55,1,RIDER78
ORDER79,2023-08-18,Failed,43,58.66,3,RIDER79
ORDER80,2023-10-14,Failed,117,418.26,4,RIDER80
ORDER81,2023-07-07,In Transit,40,270.85,5,RIDER81
ORDER82,2023-12-23,Delivered,13,414.0,3,RIDER82
ORDER83,2023-11-02,Delivered,84,269.08,2,RIDER83
ORDER84,2023-07-22,In Transit,72,441.76,3,RIDER84
ORDER85,2023-03-23,Failed,95,201.94,5,RIDER85
ORDER86,2023-06-17,Failed,25,246.97,4,RIDER86
ORDER87,2023-10-27,Failed,62,378.9,4,RIDER87
ORDER88,2023-04-06,Delivered,74,409.93,4,RIDER88
ORDER89,2023-01-04,In Transit,42,184.31,2,RIDER89
ORDER90,2023-01-19,Failed,120,390.86,3,RIDER90
ORDER91,2023-11-21,In Transit,33,97.65,5,RIDER91
ORDER92,2023-11-23,Delivered,17,465.66,2,RIDER92
ORDER93,2023-04-01,Failed,18,138.0,4,RIDER93
ORDER94,2023-06-12,In Transit,17,366.29,1,RIDER94
ORDER95,2023-10-12,Delivered,11,177.85,3,RIDER95
ORDER96,2023-12-12,Delivered,120,267.04,2,RIDER96
ORDER97,2023-08-27,Failed,39,219.91,3,RIDER97
ORDER98,2023-08-03,Delivered,111,418.14,3,RIDER98
ORDER99,2023-01-15,In Transit,12,145.69,3,RIDER99
ORDER100,2023-04-05,In Transit,98,103.02,2,RIDER100
ORDER101,2023-12-19,Delivered,75,360.18,4,RIDER101
ORDER102,2023-01-05,In Transit,60,369.6,4,RIDER102
ORDER103,2023-07-15,Failed,22,334.59,4,RIDER103
ORDER104,2023-05-22,Delivered,62,254.27,4,RIDER104
ORDER105,2023-09-28,Failed,26,321.11,2,RIDER105
ORDER106,2023-11-19,In Transit,99,86.36,2,RIDER106
ORDER107,2023-07-09,In Transit,116,452.91,5,RIDER107
ORDER108,2023-10-27,In Transit,22,344.74,4,RIDER108
ORDER109,2023-07-01,Failed,32,375.73,1,RIDER109
ORDER110,2023-07-25,In Transit,28,116.9,5,RIDER110
ORDER111,2023-10-20,Delivered,111,311.93,1,RIDER111
ORDER112,2023-08-26,Failed,95,479.08,3,RIDER112
ORDER113,2023-06-02,In Transit,22,61.02,1,RIDER113
ORDER114,2023-07-10,In Transit,21,291.69,3,RIDER114
ORDER115,2023-08-13,Failed,20,108.3,2,RIDER115
ORDER116,2023-12-30,Failed,36,89.08,2,RIDER116
ORDER117,2023-01-31,Failed,72,260.28,4,RIDER117
ORDER118,2023-10-20,In Transit,117,75.09,3,RIDER118
ORDER119,2023-07-26,Failed,35,448.06,5,RIDER119
ORDER120,2023-10-28,Failed,20,318.12,5,RIDER120
ORDER121,2023-11-04,In Transit,15,352.99,2,RIDER121
ORDER122,2023-01-14,Failed,102,495.17,5,RIDER122
ORDER123,2023-03-05,In Transit,96,266.69,3,RIDER123
ORDER124,2023-11-27,Failed,29,100.73,3,RIDER124
ORDER125,2023-12-13,Failed,37,136.32,4,RIDER125
ORDER126,2023-02-04,Failed,101,456.3,5,RIDER126
ORDER127,2023-12-28,Failed,73,427.74,5,RIDER127
ORDER128,2023-08-20,Delivered,34,274.09,4,RIDER128
ORDER129,2023-04-01,Delivered,35,378.37,5,RIDER129
ORDER130,2023-02-25,Delivered,23,108.13,1,RIDER130
ORDER131,2023-03-12,In Transit,46,301.77,5,RIDER131
ORDER132,2023-01-20,Failed,90,68.65,1,RIDER132
ORDER133,2023-01-05,Delivered,11,86.18,2,RIDER133
ORDER134,2023-07-15,Delivered,75,103.53,5,RIDER134
ORDER135,2023-12-19,In Transit,34,465.45,5,RIDER135
ORDER136,2023-10-14,Delivered,27,78.22,3,RIDER136
ORDER137,2023-08-27,Delivered,44,304.87,3,RIDER137
ORDER138,2023-08-12,Delivered,84,459.53,3,RIDER138
ORDER139,2023-09-09,In Transit,44,350.57,5,RIDER139
ORDER140,2023-12-15,Failed,76,138.36,2,RIDER140
ORDER141,2023-11-10,Failed,66,72.41,1,RIDER141
ORDER142,2023-01-03,Delivered,40,261.22,4,RIDER142
ORDER143,2023-07-18,Delivered,80,287.19,5,RIDER143
ORDER144,2023-02-02,Failed,30,354.4,4,RIDER144
ORDER145,2023-03-30,In Transit,91,379.51,4,RIDER145
ORDER146,2023-08-11,In Transit,58,85.23,5,RIDER146
ORDER147,2023-10-23,Delivered,58,341.37,3,RIDER147
ORDER148,2023-09-13,Delivered,62,496.33,4,RIDER148
ORDER149,2023-03-10,Failed,32,65.49,2,RIDER149
ORDER150,2023-01-02,In Transit,103,439.34,1,RIDER150
ORDER151,2023-12-20,In Transit,91,297.31,2,RIDER151
ORDER152,2023-03-06,Failed,52,495.69,4,RIDER152
ORDER153,2023-04-18,Failed,62,313.6,4,RIDER153
ORDER154,2023-04-22,Delivered,81,368.3,4,RIDER154
ORDER155,2023-06-20,In Transit,41,260.41,1,RIDER155
ORDER156,2023-08-29,In Transit,66,151.77,3,RIDER156
ORDER157,2023-10-20,Delivered,65,167.9,2,RIDER157
ORDER158,2023-11-22,In Transit,120,496.78,4,RIDER158
ORDER159,2023-09-17,Delivered,95,350.45,5,RIDER159
ORDER160,2023-12-20,In Transit,79,339.28,2,RIDER160
ORDER161,2023-12-18,Delivered,59,256.71,5,RIDER161
ORDER162,2023-05-28,Delivered,61,345.07,2,RIDER162
ORDER163,2023-06-07,In Transit,59,394.13,2,RIDER163
ORDER164,2023-09-03,Delivered,69,272.63,2,RIDER164
ORDER165,2023-12-05,Failed,35,354.07,5,RIDER165
ORDER166,2023-07-08,Delivered,78,332.34,4,RIDER166
ORDER167,2023-08-27,Delivered,65,297.33,3,RIDER167
ORDER168,2023-08-29,Delivered,92,454.27,1,RIDER168
